		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    0    3    2    1    1    1    3    0  9.053953 0.337765 SUCCESS  76
100101000    2    1    1    1    1    2    1    1  1.386020 0.994443 SUCCESS  77
100110000    1    0    3    3    3    2    1    0 12.032862 0.149744 SUCCESS  78
100111000    1    0    0    1    3    1    0    2  7.233508 0.511661 SUCCESS  79
101000000    0    0    3    0    1    3    2    1 10.212418 0.250432 SUCCESS  80
101000100    3    2    3    1    1    2    0    1  8.502303 0.386001 SUCCESS  81
101001000    2    3    2    0    3    2    2    2 10.322747 0.243100 SUCCESS  82
101001100    0    2    2    1    1    2    0    1  4.309764 0.828150 SUCCESS  83
101010000    0    0    2    1    2    0    1    4 11.977697 0.152202 SUCCESS  84
101010100    0    2    2    1    0    0    1    0  6.019879 0.645005 SUCCESS  85
101011000    1    2    0    0    1    3    2    2  7.288673 0.505831 SUCCESS  86
101011100    2    2    0    0    0    1    0    0  7.178343 0.517519 SUCCESS  87
101100000    2    2    2    1    1    1    4    1  9.109118 0.333175 SUCCESS  88
101100100    1    2    2    0    1    2    1    0  4.309764 0.828150 SUCCESS  89
101101000    1    1    1    2    1    0    2    1  2.544485 0.959624 SUCCESS  90
101101100    2    1    1    1    0    0    0    1  4.254599 0.833453 SUCCESS  91
101110000    1    1    1    0    2    1    0    1  3.096135 0.928180 SUCCESS  92
101110100    3    2    0    2    0    1    1    1  6.681859 0.571314 SUCCESS  93
101111000    1    3    2    3    0    1    3    3 13.853306 0.085670 SUCCESS  94
101111100    1    1    1    0    0    1    1    2  3.096135 0.928180 SUCCESS  95
110000000    0    3    4    2    1    2    0    1 13.798141 0.087181 SUCCESS  96
110000010    3    0    3    1    1    2    3    2 11.481212 0.175895 SUCCESS  97
110000100    2    0    1    0    1    0    0    3  8.391973 0.396147 SUCCESS  98
110001000    1    0    0    1    2    1    3    2  6.681859 0.571314 SUCCESS  99
110001010    1    0    0    2    1    1    1    2  3.702949 0.882881 SUCCESS 100
110010000    0    3    1    1    1    2    1    0  6.075044 0.638826 SUCCESS 101
110010010    0    0    2    0    1    2    2    1  5.468229 0.706557 SUCCESS 102
110010100    1    1    1    2    2    1    1    1  1.386020 0.994443 SUCCESS 103
110011000    1    1    0    2    3    1    1    1  4.916579 0.766454 SUCCESS 104
110011010    3    0    0    0    1    0    1    2  8.391973 0.396147 SUCCESS 105
110100000    0    0    1    1    0    2    3    1  7.233508 0.511661 SUCCESS 106
110100010    1    3    3    3    1    1    1    1  9.109118 0.333175 SUCCESS 107
110100100    1    2    2    2    1    0    2    1  3.758114 0.878261 SUCCESS 108
110101000    4    0    2    0    2    0    0    3 16.115071 0.040762 SUCCESS 109
110101010    0    1    1    1    0    0    0    0  5.964714 0.651185 SUCCESS 110
110101100    3    1    1    1    1    2    2    0  5.523394 0.700447 SUCCESS 111
110110000    1    1    3    0    2    0    2    1  6.681859 0.571314 SUCCESS 112
110110010    1    1    0    0    1    0    0    2  5.413064 0.712652 SUCCESS 113
110110100    1    0    1    1    2    0    2    1  3.702949 0.882881 SUCCESS 114
110111000    3    1    0    2    2    2    2    0  7.895488 0.443745 SUCCESS 115
110111010    1    2    0    2    0    3    1    3  9.660768 0.289647 SUCCESS 116
110111100    1    2    0    3    0    2    3    1  9.660768 0.289647 SUCCESS 117
111000000    0    2    1    1    1    1    0    2  3.702949 0.882881 SUCCESS 118
111000010    3    1    2    1    1    2    0    2  6.130209 0.632649 SUCCESS 119
111000100    3    1    1    3    4    0    4    1 21.521239 0.005884 FAILURE 120
111000110    3    1    0    1    1    0    0    1  6.626694 0.577392 SUCCESS 121
111001000    2    2    0    1    1    0    1    0  4.861414 0.772281 SUCCESS 122
111001010    1    2    1    1    0    1    0    1  3.096135 0.928180 SUCCESS 123
111001100    1    1    0    0    2    1    1    1  3.096135 0.928180 SUCCESS 124
111010000    0    0    1    1    1    1    2    1  3.096135 0.928180 SUCCESS 125
111010010    1    3    1    3    1    0    3    1 10.267582 0.246745 SUCCESS 126
111010100    2    0    0    0    1    1    0    2  6.019879 0.645005 SUCCESS 127
